SPID,PN-P1,PN-P2,PN-LL1,PN-LL2,PN-LL3,PN-PC1,PN-U1,PN-U2,PN-U3,PN-U4,PN-H1,PN-H2,PN-QP1,PN-QP2,PN-QP3,PN-QP4,PN-QC1,PN-QC2,PN-QC3,PN-T1,PN-T2
1,,,,,,,,,,,,,,,,,,,,1,
2,,,,,,,,,,,,,,1,2,,,,2.5,,
3,,,,,,,,,,,,,,13,2.5,,,3.5,1,,
4,0.33,,,2,,,,,0.67,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,
6,,1,0.67,,1,,1,1,0.67,,0.67,,,,,,,,,,
7,,,,,0.67,,1,0.33,,,1.33,,0.5,,,,,,,1,1.5
8,,,,,,,,,1,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,2,,,0.5
10,,,,,,,,1,,,,,,,,,,,,,
11,0.67,1.67,2.33,,1.67,2.5,,1.67,,,3.33,2,3,5.5,4,4,3.5,,2,,1.5
12,,,,,,,,,,,,,1.5,2,,,,,,,2
13,2.67,,1.33,,5,,,2,3.33,,,,,2.5,2,,,,,,
14,,,,,,,,,3,,,,,,,,,,,,
15,,,,,,,,0.67,,,,,,,,2,,,,,
16,,1.33,,,,,,,,,,,,1.5,,,,,,,
17,,0.67,,,1,1,,,,,3,,,,,,,,,,
18,,,,,,2.5,,,,,,,2,1,,,,,,,
19,,,,,,,,,,,,,,,,,,,,,
20,,,,,,,,,,,,,,,,,,,,,
21,2,,,2.67,,,,,1.33,,,,,,,,,,,,
22,,,,0.33,,,0.33,,,,,,,,,,,,,,
23,,,,0.33,,,1,,,,,,,,,,,,,,
24,,,,,,,0.33,,,,,,,,,,,,,,
25,0.67,,,3,1,,,3.33,,,,1.33,,4.5,3,,1,,,1,
26,,0.33,,3,1,3,,,,,,,,,,,2,5,7.5,4,1.5
27,,0.67,3,4.67,0.67,,,0.67,,,1,,,,,,,5,1,,
28,,,,,0.33,,,,,,,,,,,,,,,,
29,6,3.67,5.67,5,10.33,3,,10.33,,,3.33,7.67,3,1.5,1,3,2.5,4.5,2.5,3,0.5
30,,,,,,,,,,,,,,,,,,,,,
31,,,,,1,,0.33,0.33,,,,,,,,,,,,,
32,0.33,,3,,3.33,,,8.33,,,1.33,9.33,,5.5,2.5,,,3.5,3.5,2,4
33,,3,4.33,,1,,,,6.33,,,,,,0.5,,3.5,,4.5,0,
34,,,,,0.33,,0.33,,,,,,,,,,,,,,
35,1.67,2.67,4.67,1,3.33,3.5,0.67,4.33,,,0.67,1.33,14.5,1,10,13,10,23.5,,10,7.5
36,21.33,3.33,1.33,10,,1.5,,,5.67,,2,4,,1,6,,,,,,1
37,,,,,,,,,,,,,,,,,,,,,
38,5.33,5,1.33,8,4.33,6,,6.33,,,2,3,5.5,,1.5,6,6,4,4.5,8,4.5
