SID,FAMILIA,GenusEspecies,NombreComun,OvinosAlpacas,Vacas,Llamas,2010obs,2011obs,TotalObs
1,AM,Gomphrena meyeniana,,PD,PD,D,1,0,1
2,AP,Azorella crenata,Yareta,PD,NC,D,11,1,12
3,AP,Lilaeopsis andina,Laya laya;Chinga,PD,NC,PD,40,12,52
4,CA,Opuntia flocosa S.D.,Wagur;Warco,NC,NC,NC,9,13,22
5,CH,Beta sp.,Acelga chilena,PD,D,PD,0,28,28
6,CO,Achyrocline alata (H.B.K.) D.C.,Yurac cora,NC,NC,PD,18,11,29
7,CO,Bidens andicola,Sillcau,NC,NC,PD,15,50,65
8,CO,Chuquiraga spinosa (R&P) D.Don,Huaman Pinta,NC,NC,PD,3,1,4
9,CO,Escorzonera sp.,Escorzonera,NC,NC,PD,5,10,15
10,CO,Gnaphalium sp.,,n-c,n-c,n-c,3,0,3
11,CO,Hypochoeris sp.,,D,NC,PD,88,28,116
12,CO,Hypochoeris stenocephala,,MD,PD,PD,11,24,35
13,CO,Hypochoeris taraxacoides (Walp.)B&H,Cuchi cora;Pilli pilli;Pilli,MD,NC,PD,52,96,148
14,CO,Lepidophyllum quadrangulare,,PD,PD,PD,9,0,9
15,CO,Loricaria graveolens Wedd.,Gallopa chaquin,NC,NC,NC,4,0,4
16,CO,Lucilia aretioides,,PD,NC,PD,7,1,8
17,CO,Lucilia tunariensis,,PD,NC,PD,16,0,16
18,CO,Paranephelius bullatus A.Gray ,Millhua cora;Panas,PD,PD,PD,11,112,123
19,CO,Pseudonoseris szyszylowiczii,Antacsha,n-c,n-c,n-c,0,13,13
20,CO,Senecio sp.,,n-c,n-c,n-c,0,2,2
21,CO,Senecio canescens (H.B.K.) Cuatr.,Ancush cora,NC,NC,NC,18,7,25
22,CO,Senecio spinosus DC.,Pacha casha,NC,NC,PD,2,6,8
23,CO,Sonchus oleraceus Linneo,Casha gania,PD,NC,PD,4,11,15
24,CO,Taraxacum officinale Wigg.,Chicoria,PD,NC,PD,1,9,10
25,CO,Werneria caespitosa Wedd. E,Cebolla wiscor,D,NC,PD,46,93,139
26,CO,Werneria nubigena HBK ,Calhua calhua Cebolla wiscor,D,NC,PD,55,124,179
27,CO,Werneria villosa A. Gray,Condorpa cebollan,D,NC,PD,44,28,72
28,CY,Carex boliviensis Van Heur. & Muell.,Ajshallay,MD,D,PD,0,4,4
29,CY,Carex ecuadorica Kuekenthal,Socco cora;Ccora;Sergua,MD,D,PD,199,244,443
30,CY,Carex hebetata Boolt,Sequia cora,MD,D,D,0,32,32
31,CY,Cyperus niger Ruiz & Pavón ,Ichic ututo,MD,D,D,5,2,7
32,CY,Eleocharis albibracteata Ness & Mey,Quemillo;Chucro pasto,MD,D,D,117,158,275
33,CY,Scirpus rigidus Boeckeler,Totorilla;Anccuya,PD,D,D,61,53,114
34,GE,Erodium cicutarum Linneo L´Héritier,Auja auja;Alfilerillo,NC,NC,NC,2,11,13
35,GE,Geranium sessiliflorum Cavanillas,Paca make;Malvatina;Rachichi,PD,NC,PD,224,293,517
36,GR,Aciachne pulvinata,Ucush casha;Pacu pacu,NC,NC,PD,162,168,330
37,GR,Agropyron breviaristatum Hitchcock,Trigo Soclla,PD,PD,PD,0,6,6
38,GR,Agrostis breviculmis Hitchcock,Champa;Chiji,D,PD,D,184,147,331
39,GR,Agrostis hankeana Hitchcock,Chiji;Pajonal,PD,PD,PD,24,19,43
40,GR,Agrostis tolucensis H.B.K.,"Champa;Chiji,Cebadilla;Crespillo grande",PD,PD,PD,34,69,103
41,GR,Alocuperus sp.,,PD,PD,PD,0,6,6
42,GR,Aristida enodis Hackel,Orqo iru;Sunka pasto,PD,PD,D,2,25,27
43,GR,Axonopus elengatulus (Presl) Hitchcock,Quima Hueta,PD,PD,PD,4,1,5
44,GR,Brachypodium mexicanum Link,Tullu soclla,PD,PD,PD,0,5,5
45,GR,Bromus catharticus Valh,Shola;Cebadilla,D,D,D,225,158,383
46,GR,Bromus lanatus Humb.Bonpl. &Kunth,Shola;Cebadilla,D,D,D,124,93,217
47,GR,Bromus pitensis Humb.Bonpl. &Kunth,Shola;Shoclla,D,D,D,5,14,19
48,GR,Bromus trinii,,D,D,D,0,1,1
49,GR,Bromus unioloides,Shola;Shoclla,MD,MD,MD,34,29,63
50,GR,Calamagrostis amplifora Tóvar,Oqu ocsha,PD,PD,PD,15,14,29
51,GR,Calamagrostis antoniana (Grisebach) Steudel ,Ocsha,PD,PD,PD,8,0,8
52,GR,Calamagrostis brevifolia (Wedd.) Pilger,Llama pasto,PD,PD,MD,73,170,243
53,GR,Calamagrostis curvula (Wedd.) Pilger,Qoshru ocsha,n-c,n-c,n-c,0,26,26
54,GR,Calamagrostis eminens,Sora,PD,D,MD,3,24,27
55,GR,Calamagrostis glacialis (Weddell) Hitchcock,Atoqpa chupan,PD,PD,PD,11,0,11
