"PNID","Ano","Tipo","CoberaturaPor","ProdVacasCampo","ProdOvinosCampo","ProdVacasAuto","ProdOvinosAuto","Riqueza","Shannon","Simpson","VacasDisturb","OvinosDisturb","CoberaturaDom"
"PN-P1","2010","Cesped de puna","0.80","68","35.32","-99","45.53","54.03","27","2.72","0.1071","-0.723","-1.237","0.213"
"PN-P2","2010","Cesped de puna","0.82","88","67.66","-99","60.25","70.75","28","3.07","0.0569","-1.15","-1.633","0.113"
"PN-LL1","2010","Cesped de puna","0.93","65","53","-99","58.13","75.63","35","3.35","0.0409","-1.05","-1.91","0.067"
"PN-LL2","2010","Cesped de puna","0.85","25","35.63","48.13","40.13","50.47","29","3.07","0.0573","-0.69","-1.173","0.1"
"PN-LL3","2010","Cesped de puna","0.94","67","52.85","72.1","57.83","78.17","44","3.44","0.042","-0.937","-2.033","0.103"
"PN-PC1","2010","Cesped de puna","0.99","75","51.9","72.47","58.05","80.8","30","3.17","0.0506","-0.955","-2.005","0.115"
"PN-U1","2010","De ladera ","0.89","67.5","57.98","-99","61.68","73.18","43","3.08","0.0832","-1.193","-1.697","0.197"
"PN-U2","2010","Cesped de puna","0.98","88","52.33","64.67","67.03","84.53","33","3.01","0.0629","-1.237","-2.243","0.103"
"PN-U3","2010","Pajonal de ladera","0.94","56","46","-99","53.17","54.5","32","3.22","0.0472","-1.017","-1.303","0.077"
"PN-H1","2010","Cesped de puna","0.93","65","64.8","-99","60.9","79.73","28","3","0.0645","-1.04","-2.083","0.13"
"PN-H2","2010","Transicional","0.91","87","49.65","-99","56.22","81.89","22","2.75","0.0762","-0.807","-2.26","0.12"
"PN-QP1","2010","Cesped de puna","0.98","83.3","57.93","-99","60.73","83.98","23","2.64","0.0955","-0.86","-2.185","0.18"
"PN-QP2","2010","Occonal","0.93","71.4","45.44","78.94","48.29","76.04","27","2.79","0.0868","-0.455","-1.805","0.155"
"PN-QP3","2010","Occonal","0.89","60","44.8","78.8","48.3","71.55","24","2.84","0.0826","-0.655","-1.665","0.185"
"PN-QP4","2010","Occonal","0.96","66","69.8","-99","70.4","78.9","19","2.68","0.0688","-1.52","-1.86","0.13"
"PN-QC1","2010","Pajonal","0.90","80.2","55.97","-99","51.07","68.07","31","3.12","0.0562","-0.805","-1.6","0.1"
"PN-QC2","2010","Cesped de puna","0.91","80","41.8","49.8","52","71.5","17","2.44","0.1246","-0.67","-1.64","0.235"
"PN-QC3","2010","Occonal","0.95","76","50.9","65.9","57.5","79","28","2.91","0.0743","-0.94","-1.825","0.145"
"PN-T1","2010","Occonal","0.92","80","44.3","71.3","48.6","76.1","21","2.55","0.0746","-0.68","-1.8","0.15"
"PN-T2","2010","Cesped de puna","0.98","76","53","-99","58.2","77.95","30","3.08","0.0587","-0.97","-1.895","0.12"
"PN-P1","2011","Cesped de puna","0.83","50","35.93","46.77","36.8","52.47","26","2.72","0.0977","-0.527","-1.28","0.183"
"PN-P2","2011","Cesped de puna","0.99","60","67.87","-99","70.03","78.7","39","3.24","0.0571","-1.363","-1.9","0.163"
"PN-LL1","2011","Cesped de puna","0.99","60","47.6","-99","58.47","75.8","41","3.43","0.0401","-0.997","-1.983","0.09"
"PN-LL2","2011","Cesped de puna","0.96","50","38.77","47.76","49.33","60.33","31","3.11","0.0577","-0.913","-1.43","0.127"
"PN-LL3","2011","Cesped de puna","0.99","56","47.7","62.87","53.7","79.7","39","3.29","0.0508","-0.873","-2.07","0.12"
"PN-PC1","2011","Cesped de puna","0.99","53","49.53","65.03","60.53","78.03","44","3.51","0.0369","-1.093","-2.05","0.08"
"PN-U1","2011","De ladera ","0.99","70","58.27","-99","67.13","78.47","33","3.11","0.0622","-1.237","-1.85","0.143"
"PN-U2","2011","Cesped de puna","0.96","85","52.03","58.53","56.3","70.97","33","2.95","0.072","-0.897","-1.813","0.13"
"PN-U4","2011","Cesped de puna","0.89","51","44.4","51.82","46.13","66.63","42","3.42","0.0427","-0.76","-1.717","0.083"
"PN-H1","2011","Cesped de puna","0.91","60","66.13","-99","57.77","81.1","25","2.7","0.0942","-1.08","-2.15","0.18"
"PN-H2","2011","Transicional","0.88","52","45.13","56.47","48.8","71.63","27","2.96","0.0641","-0.75","-1.817","0.117"
"PN-QP1","2011","Cesped de puna","0.99","55","59.9","-99","55.87","74.87","36","3.24","0.0508","-0.9","-1.97","0.093"
"PN-QP2","2011","Occonal","0.87","52","41.32","54.99","60.3","75.63","27","2.54","0.1179","-1.027","-2.107","0.177"
"PN-QP3","2011","Cesped de puna","1.00","60","49.63","58.63","62.07","80.23","22","2.83","0.0685","-1.013","-2.093","0.11"
"PN-QC1","2011","Pajonal en degradaci�n","0.95","70","52.37","-99","55.47","73.97","32","3.24","0.0461","-0.973","-1.75","0.077"
"PN-QC2","2011","Cesped de puna","0.95","45","40.66","46.83","48.73","72.9","29","3","0.0651","-0.707","-1.857","0.12"
"PN-QC3","2011","Occonal","0.95","56","43.33","59.5","46.03","65.53","37","3.1","0.0602","-0.64","-1.547","0.11"
"PN-T1","2011","Transicional de Cesped de puna a occonal","0.92","60","43.76","59.26","44.77","73.77","26","2.73","0.099","-0.583","-1.973","0.223"
"PN-T2","2011","Cesped de puna","0.98","80","57.03","-99","59.37","72.53","41","3.4","0.0409","-0.987","-1.727","0.09"
