"SPID","PN-P1","PN-P2","PN-LL1","PN-LL2","PN-LL3","PN-PC1","PN-U1","PN-U2","PN-U3","PN-H1","PN-H2","PN-QP1","PN-QP2","PN-QP3","PN-QP4","PN-QC1","PN-QC2","PN-QC3","PN-T1","PN-T2"
"1","","","","","","","","","","","","","","","","","","","","1",""
"2","","","","","","","","","","","","","","1","2","","","","2.5","",""
"3","","","","","","","","","","","","","","13","2.5","","","3.5","1","",""
"4","0.333333333","","","2","","","","","0.666666667","","","","","","","","","","","",""
"5","","","","","","","","","","","","","","","","","","","","",""
"6","","1","0.666666667","","1","","1","1","0.666666667","","0.666666667","","","","","","","","","",""
"7","","","","","0.666666667","","1","0.333333333","","","1.333333333","","0.5","","","","","","","1","1.5"
"8","","","","","","","","","1","","","","","","","","","","","",""
"9","","","","","","","","","","","","","","","","","","2","","","0.5"
"10","","","","","","","","1","","","","","","","","","","","","",""
"11","0.666666667","1.666666667","2.333333333","","1.666666667","2.5","","1.666666667","","","3.333333333","2","3","5.5","4","4","3.5","","2","","1.5"
"12","","","","","","","","","","","","","1.5","2","","","","","","","2"
"13","2.666666667","","1.333333333","","5","","","2","3.333333333","","","","","2.5","2","","","","","",""
"14","","","","","","","","","3","","","","","","","","","","","",""
"15","","","","","","","","0.666666667","","","","","","","","2","","","","",""
"16","","1.333333333","","","","","","","","","","","","1.5","","","","","","",""
"17","","0.666666667","","","1","1","","","","","3","","","","","","","","","",""
"18","","","","","","2.5","","","","","","","2","1","","","","","","",""
"19","","","","","","","","","","","","","","","","","","","","",""
"20","","","","","","","","","","","","","","","","","","","","",""
"21","2","","","2.666666667","","","","","1.333333333","","","","","","","","","","","",""
"22","","","","0.333333333","","","0.333333333","","","","","","","","","","","","","",""
"23","","","","0.333333333","","","1","","","","","","","","","","","","","",""
"24","","","","","","","0.333333333","","","","","","","","","","","","","",""
"25","0.666666667","","","3","1","","","3.333333333","","","","1.333333333","","4.5","3","","1","","","1",""
"26","","0.333333333","","3","1","3","","","","","","","","","","","2","5","7.5","4","1.5"
"27","","0.666666667","3","4.666666667","0.666666667","","","0.666666667","","","1","","","","","","","5","1","",""
"28","","","","","0.333333333","","","","","","","","","","","","","","","",""
"29","6","3.666666667","5.666666667","5","10.33333333","3","","10.33333333","","","3.333333333","7.666666667","3","1.5","1","3","2.5","4.5","2.5","3","0.5"
"30","","","","","","","","","","","","","","","","","","","","",""
"31","","","","","1","","0.333333333","0.333333333","","","","","","","","","","","","",""
"32","0.333333333","","3","","3.333333333","","","8.333333333","","","1.333333333","9.333333333","","5.5","2.5","","","3.5","3.5","2","4"
"33","","3","4.333333333","","1","","","","6.333333333","","","","","","0.5","","3.5","","4.5","0",""
"34","","","","","0.333333333","","0.333333333","","","","","","","","","","","","","",""
