SID,Familia,GeneroEspecies,NombreComun,OvinosAlpacas,Vacas,Llamas,2010obs,2011obs,TotalObs,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Amaranthaceae,Gomphrena meyeniana,,PD,PD,D,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Apiaceae,Azorella crenata,Yareta,PD,NC,D,11,1,12,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Apiaceae,Lilaeopsis andina,Laya laya;Chinga,PD,NC,PD,40,12,52,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Cactaceae,Opuntia flocosa S.D.,Wagur;Warco,NC,NC,NC,9,13,22,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Chenopodiaceae,Beta sp.,Acelga chilena,PD,D,PD,0,28,28,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Compositae (Asteraceae),Achyrocline alata (H.B.K.) D.C.,Yurac cora,NC,NC,PD,18,11,29,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Compositae (Asteraceae),Bidens andicola,Sillcau,NC,NC,PD,15,50,65,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Compositae (Asteraceae),Chuquiraga spinosa (R&P) D.Don,Huaman Pinta,NC,NC,PD,3,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Compositae (Asteraceae),Escorzonera sp.,Escorzonera,NC,NC,PD,5,10,15,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Compositae (Asteraceae),Gnaphalium sp.,,n-c,n-c,n-c,3,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Compositae (Asteraceae),Hypochoeris sp.,,D,NC,PD,88,28,116,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Compositae (Asteraceae),Hypochoeris stenocephala,,MD,PD,PD,11,24,35,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Compositae (Asteraceae),Hypochoeris taraxacoides (Walp.)B&H,Cuchi cora;Pilli pilli;Pilli,MD,NC,PD,52,96,148,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Compositae (Asteraceae),Lepidophyllum quadrangulare,,PD,PD,PD,9,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Compositae (Asteraceae),Loricaria graveolens Wedd.,Gallopa chaquin,NC,NC,NC,4,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Compositae (Asteraceae),Lucilia aretioides,,PD,NC,PD,7,1,8,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Compositae (Asteraceae),Lucilia tunariensis,,PD,NC,PD,16,0,16,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Compositae (Asteraceae),Paranephelius bullatus A.Gray ,Millhua cora;Panas,PD,PD,PD,11,112,123,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Compositae (Asteraceae),Pseudonoseris szyszylowiczii,Antacsha,n-c,n-c,n-c,0,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Compositae (Asteraceae),Senecio sp.,,n-c,n-c,n-c,0,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Compositae (Asteraceae),Senecio canescens (H.B.K.) Cuatr.,Ancush cora,NC,NC,NC,18,7,25,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Compositae (Asteraceae),Senecio spinosus DC.,Pacha casha,NC,NC,PD,2,6,8,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Compositae (Asteraceae),Sonchus oleraceus Linneo,Casha gania,PD,NC,PD,4,11,15,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Compositae (Asteraceae),Taraxacum officinale Wigg.,Chicoria,PD,NC,PD,1,9,10,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Compositae (Asteraceae),Werneria caespitosa Wedd. E,Cebolla wiscor,D,NC,PD,46,93,139,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Compositae (Asteraceae),Werneria nubigena HBK ,Calhua calhua Cebolla wiscor,D,NC,PD,55,124,179,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Compositae (Asteraceae),Werneria villosa A. Gray,Condorpa cebollan,D,NC,PD,44,28,72,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Cyperaceae,Carex boliviensis Van Heur. & Muell.,Ajshallay,MD,D,PD,0,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Cyperaceae,Carex ecuadorica Kuekenthal,Socco cora;Ccora;Sergua,MD,D,PD,199,244,443,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Cyperaceae,Carex hebetata Boolt,Sequia cora,MD,D,D,0,32,32,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Cyperaceae,Cyperus niger Ruiz & Pavón ,Ichic ututo,MD,D,D,5,2,7,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Cyperaceae,Eleocharis albibracteata Ness & Mey,Quemillo;Chucro pasto,MD,D,D,117,158,275,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Cyperaceae,Scirpus rigidus Boeckeler,Totorilla;Anccuya,PD,D,D,61,53,114,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Geraniaceae,Erodium cicutarum Linneo L´Héritier,Auja auja;Alfilerillo,NC,NC,NC,2,11,13,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Geraniaceae,Geranium sessiliflorum Cavanillas,Paca make;Malvatina;Rachichi,PD,NC,PD,224,293,517,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Gramineae (Poaceae),Aciachne pulvinata,Ucush casha;Pacu pacu,NC,NC,PD,162,168,330,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Gramineae (Poaceae),Agropyron breviaristatum Hitchcock,Trigo Soclla,PD,PD,PD,0,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Gramineae (Poaceae),Agrostis breviculmis Hitchcock,Champa;Chiji,D,PD,D,184,147,331,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Gramineae (Poaceae),Agrostis hankeana Hitchcock,Chiji;Pajonal,PD,PD,PD,24,19,43,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Gramineae (Poaceae),Agrostis tolucensis H.B.K.,"Champa;Chiji,Cebadilla;Crespillo grande",PD,PD,PD,34,69,103,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Gramineae (Poaceae),Alocuperus sp.,,PD,PD,PD,0,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Gramineae (Poaceae),Aristida enodis Hackel,Orqo iru;Sunka pasto,PD,PD,D,2,25,27,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Gramineae (Poaceae),Axonopus elengatulus (Presl) Hitchcock,Quima Hueta,PD,PD,PD,4,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,Gramineae (Poaceae),Brachypodium mexicanum Link,Tullu soclla,PD,PD,PD,0,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Gramineae (Poaceae),Bromus catharticus Valh,Shola;Cebadilla,D,D,D,225,158,383,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,Gramineae (Poaceae),Bromus lanatus Humb.Bonpl. &Kunth,Shola;Cebadilla,D,D,D,124,93,217,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Gramineae (Poaceae),Bromus pitensis Humb.Bonpl. &Kunth,Shola;Shoclla,D,D,D,5,14,19,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Gramineae (Poaceae),Bromus trinii,,D,D,D,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Gramineae (Poaceae),Bromus unioloides,Shola;Shoclla,MD,MD,MD,34,29,63,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Gramineae (Poaceae),Calamagrostis amplifora Tóvar,Oqu ocsha,PD,PD,PD,15,14,29,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Gramineae (Poaceae),Calamagrostis antoniana (Grisebach) Steudel ,Ocsha,PD,PD,PD,8,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,Gramineae (Poaceae),Calamagrostis brevifolia (Wedd.) Pilger,Llama pasto,PD,PD,MD,73,170,243,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,Gramineae (Poaceae),Calamagrostis curvula (Wedd.) Pilger,Qoshru ocsha,n-c,n-c,n-c,0,26,26,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,Gramineae (Poaceae),Calamagrostis eminens,Sora,PD,D,MD,3,24,27,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,Gramineae (Poaceae),Calamagrostis glacialis (Weddell) Hitchcock,Atoqpa chupan,PD,PD,PD,11,0,11,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,Gramineae (Poaceae),Calamagrostis heterophylla (Weddell) Pilger,Ocsha,PD,PD,PD,14,14,28,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,Gramineae (Poaceae),Calamagrostis macrophylla Pilger,Chucro pasto;Callo callo;Huellap ocsha,PD,PD,PD,4,12,16,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,Gramineae (Poaceae),Calamagrostis ovata (Presl) Steudel,Centeno pasto;Jurahua,D,PD,PD,11,27,38,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,Gramineae (Poaceae),Calamagrostis recta (HBK) Trinius,Zutsu ocsha,PD,D,D,52,18,70,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,Gramineae (Poaceae),Calamagrostis rigescens (Presl) Scribner,Chucro pasto;Callo callo,NC,PD,PD,76,127,203,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,Gramineae (Poaceae),Calamagrostis rigida H.B.K. ,Chucro ocsha;Kachi ocsha,PD,PD,PD,13,59,72,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,Gramineae (Poaceae),Calamagrostis spiciformis Hackel ex Stucker,Hatun Crespillo,D,PD,D,36,40,76,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,Gramineae (Poaceae),Calamagrostis vicunarum (Weddell) Pilger,Crespillo;Coshllo pasto,PD,PD,MD,160,110,270,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,Gramineae (Poaceae),Dielsiochoa floribunda Pilger,Pluma ocsha,PD,PD,PD,5,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,Gramineae (Poaceae),Dissanthelium breve Swallen &Tóvar,Patza hueta,D,PD,PD,4,3,7,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,Gramineae (Poaceae),Dissanthelium calycinum (Presl) Hitchcock,,D,PD,PD,7,0,7,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,Gramineae (Poaceae),Dissanthelium macusaniense (Krause) F & S,Ichic soclla,PD,PD,PD,64,96,160,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,Gramineae (Poaceae),Dissanthelium mathewsii (Ball)Foster & Smith,Jirca soclla,PD,PD,PD,3,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
